33297;Moulis-en-Médoc;45.0535;-0.7842;33480
33352;Réole;44.5867;-0.0404;33190
33382;Saint-Christoly-de-Blaye;45.1442;-0.4958;33920
34072;Celles;43.6664;3.3601;34700
34286;Saint-Privat;43.7506;3.4314;34700
35234;Quédillac;48.238;-2.1446;35290
36218;Sougé;46.9659;1.4808;36500
37009;Autrèche;47.5233;1.0025;37110
37155;Monthodon;47.6426;0.8214;37110
38116;Cognet;44.8813;5.7744;38350
38217;Marcieu;44.9175;5.6954;38350
38473;Sardieu;45.3598;5.2215;38260
39055;Billecul;46.7454;6.0565;39250
39075;Bréry;46.7841;5.5807;
39093;Chamblay;46.9911;5.7039;39380
39329;Mièges;46.7908;6.0476;39250
39569;Villers-Farlay;46.9942;5.7594;39600
40068;Cassen;43.7604;-0.8664;40380
40074;Castel-Sarrazin;43.6183;-0.7861;40330
40108;Gastes;44.3207;-1.1946;40160
40192;Mont-de-Marsan;43.8997;-0.4908;40000
40238;Pujo-le-Plan;43.8617;-0.3419;40190
41109;Landes-le-Gaulois;47.6574;1.1725;41190
41205;Saint-Cyr-du-Gault;47.621;1.0261;41190
41206;Saint-Denis-sur-Loire;47.6341;1.3727;41000
42067;Colombier;45.3537;4.5934;42220
42126;Luriecq;45.4522;4.0731;42380
42176;Pouilly-les-Nonains;46.0448;3.9776;42155
42188;Roche;45.6159;3.9206;42600
42267;Saint-Nizier-sous-Charlieu;46.1619;4.1262;42190
42301;Soleymieux;45.5058;4.0662;42560
42312;Tourette;45.4242;4.0836;42380
42329;Versanne;45.3206;4.5065;42220
43077;Costaros;44.8916;3.841;43490
43180;Saint-Étienne-du-Vigan;44.7887;3.8363;43420
43223;Saint-Romain-Lachalm;45.2644;4.3391;43620
43230;Saint-Vincent;45.152;3.8985;43800
43240;Solignac-sous-Roche;45.2515;3.9973;43130
43267;Vorey;45.1927;3.9054;43800
44006;Assérac;47.438;-2.4131;44410
45031;Bellegarde;47.9798;2.4144;45270
45206;Mignères;48.0485;2.622;45490
45299;Saint-Sigismond;47.9825;1.6655;45310
45315;Sully-sur-Loire;47.7525;2.3569;45600
46127;Gourdon;44.7351;1.377;46300
46180;Lunan;44.6097;2.0839;46100
47018;Auriac-sur-Dropt;44.654;0.2424;47120
47237;Sainte-Colombe-de-Villeneuve;44.3575;0.656;47300
47319;Villebramar;44.5244;0.4773;47380
48117;Pourcharesses;44.4334;3.8978;48800
48128;Rimeize;44.7654;3.3166;48200
48132;Saint-Alban-sur-Limagnole;44.7966;3.4031;48120
49362;Varrains;47.2279;-0.0659;49400
50066;Jullouville;48.7631;-1.5277;50610
50353;Mont-Saint-Michel;48.6215;-1.5335;50170
51153;Chouilly;49.0176;4.0044;51530
51249;Festigny;49.0284;3.7667;51700
51354;Marson;48.9262;4.5422;51240
51378;Monthelon;48.9972;3.9359;51530
51518;Saint-Thierry;49.2983;3.975;51220
51577;Tramery;49.2227;3.8004;51170
52129;Cirey-sur-Blaise;48.333;4.9355;52110
52371;Oudincourt;48.2252;5.0879;52310
53030;Bignon-du-Maine;47.9503;-0.6247;53170
53080;Couptrain;48.482;-0.2922;53250
53103;Genest-Saint-Isle;48.1046;-0.8951;53940
53177;Pellerine;48.3201;-1.0336;53220
54028;Auboué;49.2122;5.9748;54580
54114;Champey-sur-Moselle;48.957;6.0687;54700
54227;Giraumont;49.1729;5.9171;54780
54252;Haroué;48.4738;6.1886;54740
54432;Pont-Saint-Vincent;48.61;6.0732;54550
55068;Brabant-en-Argonne;49.121;5.1444;55120
55175;Érize-la-Brûlée;48.8469;5.2755;55260
55531;Vassincourt;48.802;5.0266;55800
55544;Velosnes;49.4987;5.4602;55600
56180;Porcaro;47.92;-2.1932;56380
57007;Adaincourt;49.005;6.4437;57580
57089;Bitche;49.0473;7.4595;57230
57119;Buhl-Lorraine;48.7178;7.0748;57400
57136;Chémery-les-Deux;49.3007;6.4444;57320
57284;Hallering;49.1244;6.5557;57690
57349;Jallaucourt;48.8355;6.3939;57590
57372;Kuntzig;49.3486;6.2382;57970
57438;Malroy;49.173;6.2158;57640
57469;Mittersheim;48.8558;6.9437;57930
57474;Mondelange;49.2627;6.1737;57300
57490;Moyenvic;48.7822;6.5703;57630
57531;Oudrenne;49.3702;6.3482;57970
58038;Breugnon;47.4266;3.4574;58460
58075;Chitry-les-Mines;47.2696;3.6624;58800
58101;Dompierre-sur-Nièvre;47.2322;3.2595;58350
58169;Moissy-Moulinot;47.3262;3.7099;58190
59038;Avesnes-le-Sec;50.2487;3.3719;59296
59066;Bérelles;50.2142;4.1063;59740
59114;Bruille-Saint-Amand;50.4653;3.5057;59199
59179;Douchy-les-Mines;50.2987;3.3889;59282
59344;Leval;50.181;3.8314;59620
59422;Naves;50.2038;3.3176;59161
59612;Vertain;50.2129;3.523;59730
60017;Ansauvillers;49.5673;2.3865;60120
60032;Autrêches;49.4491;3.1277;60350
60051;Beaudéduit;49.678;2.0569;60210
60111;Broyes;49.6287;2.4558;60120
60131;Catheux;49.6489;2.1052;60360
60132;Catigny;49.6351;2.9416;60640
60226;Ève;49.0869;2.708;60330
60579;Saint-Jean-aux-Bois;49.3502;2.8868;60350
60588;Saint-Maur;49.6155;1.9218;60210
60591;Saint-Paul;49.4273;1.987;60650
60628;Therdonne;49.4238;2.1523;60510
61013;Aunay-les-Bois;48.5468;0.2935;61500
61046;Bizou;48.4925;0.7505;61290
61051;Boitron;48.57;0.2661;61500
61066;Buré;48.5057;0.4039;61170
61096;Rives d'Andaine;48.5311;-0.4491;61140/61410
61142;Dame-Marie;48.3548;0.6185;61130
62070;Bailleul-aux-Cornailles;50.3728;2.4484;62127
62125;Beuvrequen;50.7977;1.6755;62250
62184;Buissy;50.2012;3.0297;62860
62365;Galametz;50.3261;2.1306;62770
62613;Nielles-lès-Bléquin;50.6753;2.0307;62380
62730;Ruminghem;50.8562;2.167;62370
62870;Wailly-Beaucamp;50.4096;1.7283;62170
63013;Aubiat;45.9807;3.1918;63260
63016;Augerolles;45.7366;3.63;63930
63265;Orléat;45.8595;3.4387;63190
63348;Saint-Genès-la-Tourette;45.5174;3.4817;63580
63354;Saint-Gervais-d'Auvergne;46.0194;2.8308;63390
63431;Thiolières;45.5822;3.6913;63600
64009;Ahetze;43.4052;-1.5713;64210
64031;Arancou;43.4436;-1.0527;64270
64148;Bruges-Capbis-Mifaget;43.1249;-0.3048;64800
65026;Aries-Espénan;43.276;0.5317;65230
65216;Hauban;43.1001;0.1634;65200
65269;Lescurry;43.3364;0.1566;65140
65348;Ourdis-Cotdoussan;43.0402;0.0281;65100
66094;Latour-Bas-Elne;42.6054;3.0038;66200
