40074;Castel-Sarrazin;43.6183;-0.7861
40108;Gastes;44.3207;-1.1946
40192;Mont-de-Marsan;43.8997;-0.4908
40238;Pujo-le-Plan;43.8617;-0.3419
41109;Landes-le-Gaulois;47.6574;1.1725
41205;Saint-Cyr-du-Gault;47.621;1.0261
41206;Saint-Denis-sur-Loire;47.6341;1.3727
42067;Colombier;45.3537;4.5934
42126;Luriecq;45.4522;4.0731
42176;Pouilly-les-Nonains;46.0448;3.9776
42188;Roche;45.6159;3.9206
42267;Saint-Nizier-sous-Charlieu;46.1619;4.1262
42301;Soleymieux;45.5058;4.0662
42312;Tourette;45.4242;4.0836
42329;Versanne;45.3206;4.5065
43077;Costaros;44.8916;3.841
43180;Saint-Étienne-du-Vigan;44.7887;3.8363
43223;Saint-Romain-Lachalm;45.2644;4.3391
43230;Saint-Vincent;45.152;3.8985
43240;Solignac-sous-Roche;45.2515;3.9973
43267;Vorey;45.1927;3.9054
44006;Assérac;47.438;-2.4131
45031;Bellegarde;47.9798;2.4144
45206;Mignères;48.0485;2.622
45299;Saint-Sigismond;47.9825;1.6655
45315;Sully-sur-Loire;47.7525;2.3569
46127;Gourdon;44.7351;1.377
46180;Lunan;44.6097;2.0839
47018;Auriac-sur-Dropt;44.654;0.2424
47237;Sainte-Colombe-de-Villeneuve;44.3575;0.656
47319;Villebramar;44.5244;0.4773
48117;Pourcharesses;44.4334;3.8978
48128;Rimeize;44.7654;3.3166
48132;Saint-Alban-sur-Limagnole;44.7966;3.4031
49362;Varrains;47.2279;-0.0659
50066;Jullouville;48.7631;-1.5277
50353;Mont-Saint-Michel;48.6215;-1.5335
51153;Chouilly;49.0176;4.0044
51249;Festigny;49.0284;3.7667
51354;Marson;48.9262;4.5422
51378;Monthelon;48.9972;3.9359
51518;Saint-Thierry;49.2983;3.975
51577;Tramery;49.2227;3.8004
52129;Cirey-sur-Blaise;48.333;4.9355
52371;Oudincourt;48.2252;5.0879
53030;Bignon-du-Maine;47.9503;-0.6247
53080;Couptrain;48.482;-0.2922
53103;Genest-Saint-Isle;48.1046;-0.8951
53177;Pellerine;48.3201;-1.0336
54028;Auboué;49.2122;5.9748
54114;Champey-sur-Moselle;48.957;6.0687
54227;Giraumont;49.1729;5.9171
54252;Haroué;48.4738;6.1886
54432;Pont-Saint-Vincent;48.61;6.0732
55068;Brabant-en-Argonne;49.121;5.1444
55175;Érize-la-Brûlée;48.8469;5.2755
55531;Vassincourt;48.802;5.0266
55544;Velosnes;49.4987;5.4602
56180;Porcaro;47.92;-2.1932
57007;Adaincourt;49.005;6.4437
57089;Bitche;49.0473;7.4595
57119;Buhl-Lorraine;48.7178;7.0748
57136;Chémery-les-Deux;49.3007;6.4444
57284;Hallering;49.1244;6.5557
57349;Jallaucourt;48.8355;6.3939
57372;Kuntzig;49.3486;6.2382
57438;Malroy;49.173;6.2158
57469;Mittersheim;48.8558;6.9437
57474;Mondelange;49.2627;6.1737
57490;Moyenvic;48.7822;6.5703
57531;Oudrenne;49.3702;6.3482
58038;Breugnon;47.4266;3.4574
58075;Chitry-les-Mines;47.2696;3.6624
58101;Dompierre-sur-Nièvre;47.2322;3.2595
58169;Moissy-Moulinot;47.3262;3.7099
59038;Avesnes-le-Sec;50.2487;3.3719
59066;Bérelles;50.2142;4.1063
59114;Bruille-Saint-Amand;50.4653;3.5057
59179;Douchy-les-Mines;50.2987;3.3889
59344;Leval;50.181;3.8314
59422;Naves;50.2038;3.3176
59612;Vertain;50.2129;3.523
60017;Ansauvillers;49.5673;2.3865
60032;Autrêches;49.4491;3.1277
60051;Beaudéduit;49.678;2.0569
60111;Broyes;49.6287;2.4558
60131;Catheux;49.6489;2.1052
60132;Catigny;49.6351;2.9416
60226;Ève;49.0869;2.708
60579;Saint-Jean-aux-Bois;49.3502;2.8868
60588;Saint-Maur;49.6155;1.9218
60591;Saint-Paul;49.4273;1.987
60628;Therdonne;49.4238;2.1523
61013;Aunay-les-Bois;48.5468;0.2935
61046;Bizou;48.4925;0.7505
61051;Boitron;48.57;0.2661
61066;Buré;48.5057;0.4039
61096;Rives d'Andaine;48.5311;-0.4491
61142;Dame-Marie;48.3548;0.6185
62070;Bailleul-aux-Cornailles;50.3728;2.4484
62125;Beuvrequen;50.7977;1.6755
62184;Buissy;50.2012;3.0297
62365;Galametz;50.3261;2.1306
62613;Nielles-lès-Bléquin;50.6753;2.0307
62730;Ruminghem;50.8562;2.167
62870;Wailly-Beaucamp;50.4096;1.7283
63013;Aubiat;45.9807;3.1918
63016;Augerolles;45.7366;3.63
63265;Orléat;45.8595;3.4387
63348;Saint-Genès-la-Tourette;45.5174;3.4817
63354;Saint-Gervais-d'Auvergne;46.0194;2.8308
63431;Thiolières;45.5822;3.6913
64009;Ahetze;43.4052;-1.5713
64031;Arancou;43.4436;-1.0527
64148;Bruges-Capbis-Mifaget;43.1249;-0.3048
65026;Aries-Espénan;43.276;0.5317
65216;Hauban;43.1001;0.1634
65269;Lescurry;43.3364;0.1566
65348;Ourdis-Cotdoussan;43.0402;0.0281
66094;Latour-Bas-Elne;42.6054;3.0038
66159;Réal;42.6411;2.1472
66221;Valmanya;42.5213;2.5133
67069;Buhl;48.9175;8.0149
67102;Dossenheim-Kochersberg;48.6407;7.5795
67113;Eberbach-Seltz;48.9286;8.0648
67125;Epfig;48.3521;7.4704
67139;Flexbourg;48.568;7.423
67182;Hangenbieten;48.5568;7.6123
67221;Ingolsheim;48.9712;7.9279
67434;Sarre-Union;48.9449;7.0883
68072;Dietwiller;47.7016;7.4268
68107;Gommersdorf;47.6414;7.1335
68138;Hirsingue;47.5887;7.2513
68224;Mulhouse;47.7497;7.3257
68249;Orbey;48.1149;7.1358
69026;Breuil;45.8909;4.591
69042;Chapelle-sur-Coise;45.6505;4.496
70020;Andelarrot;47.5782;6.0992
70128;Chapelle-lès-Luxeuil;47.7737;6.3797
70154;Cirey;47.4133;6.1325
70430;Quarte;47.7723;5.7018
70577;Vouhenans;47.6415;6.4957
71192;Étang-sur-Arroux;46.8597;4.1795
71253;Lans;46.7644;4.9321
71341;Palleau;46.9658;5.0339
71344;Passy;46.5403;4.5354
71499;Sanvignes-les-Mines;46.668;4.2807
71553;Vareilles;46.3008;4.2475
72004;Amné;48.0405;-0.0438
72077;Chenu;47.6034;0.3551
72238;Pizieux;48.3228;0.3336
72327;Sarcé;47.7221;0.2289
73008;Aix-les-Bains;45.6979;5.9036
73257;Belleville;45.3382;6.517
74096;Cruseilles;46.0364;6.1153
74133;Gaillard;46.1815;6.2069
74158;Machilly;46.256;6.3244
74265;Serraval;45.8117;6.3356
76360;Heugleville-sur-Scie;49.7348;1.0997
76381;Landes-Vieilles-et-Neuves;49.7859;1.6327
76481;Octeville-sur-Mer;49.5592;0.1185
77057;Bussières;48.9268;3.2378
77336;Neufmoutiers-en-Brie;48.7731;2.8254
77340;Nonville;48.2887;2.7739
78165;Clayes-sous-Bois;48.8183;1.9844
79013;Argentonnay;46.9699;-0.4208
79022;Availles-Thouarsais;46.8555;-0.1363
80288;Estrées-Deniécourt;49.8718;2.8235
80405;Hailles;49.7992;2.4293
80621;Hypercourt;49.807;2.8569
80725;Salouël;49.8692;2.2425
81233;Roumégoux;43.8092;2.2635
83007;Aups;43.6246;6.2209
84051;Goult;43.8678;5.2473
84134;Travaillan;44.1892;4.9082
85146;Montaigu;46.9759;-1.3135
86300;Yversay;46.6716;0.2058
87023;Buis;46.0344;1.2051
87044;Chéronnac;45.7569;0.7532
87135;Saint-Auvent;45.8107;0.9216
88201;Girancourt;48.1475;6.3263
88229;Harchéchamp;48.4043;5.7991
88275;Lubine;48.3175;7.1663
88424;Sainte-Marguerite;48.2674;6.973
89212;Jussy;47.7166;3.5705
89263;Monéteau;47.8498;3.5891
89318;Quarré-les-Tombes;47.3575;4.0037
89424;Trucy-sur-Yonne;47.6282;3.6451
91235;Fleury-Mérogis;48.6326;2.3686
91434;Morsang-sur-Orge;48.6561;2.3512
91667;Villemoisson-sur-Orge;48.6612;2.3325
92040;Issy-les-Moulineaux;48.8232;2.2628
01006;Ambléon;45.75;5.5939
01083;Chaneins;46.0933;4.8547
01097;Chavornay;45.8825;5.7241
01245;Bohas-Meyriat-Rignat;46.1428;5.3771
01267;Nurieux-Volognat;46.1833;5.515
01286;Parves et Nattages;45.731;5.7455
01291;Perrex;46.2462;4.9757
01298;Plagne;46.1881;5.7179
01303;Poncin;46.0892;5.4165
02053;Vallées en Champagne;49.0077;3.6161
02137;Bussiares;49.0765;3.2502
02158;Chamouille;49.4718;3.6712
02170;Châtillon-sur-Oise;49.7945;3.4151
02199;Clastres;49.7494;3.2289
02232;Coyolles;49.213;3.0135
02242;Crouttes-sur-Marne;48.9786;3.2475
02254;Cutry;49.3442;3.192
02270;Douchy;49.7939;3.1304
02277;Épagny;49.4714;3.2542
02280;Épieds;49.1056;3.4514
02292;Étampes-sur-Marne;49.0311;3.4165
02324;Fontenelle;50.0312;3.8442
02383;Homblières;49.8573;3.3758
02519;Montloué;49.668;4.0632
02532;Moÿ-de-l'Aisne;49.7511;3.3516
02562;Nouvron-Vingré;49.433;3.1877
02719;Sinceny;49.5904;3.2696
03020;Beaune-d'Allier;46.2732;2.8914
03049;Cesset;46.3002;3.1998
03127;Hérisson;46.5199;2.7101
03159;Malicorne;46.3066;2.7721
03160;Marcenat;46.2374;3.3966
03173;Molinet;46.4642;3.9268
03281;Theil;46.3561;3.1248
03311;Vicq;46.1464;3.095
03316;Villeneuve-sur-Allier;46.6744;3.2506
04075;Entrepierres;44.1956;6.0232
04151;Pierrerue;43.9623;5.8362
04241;Villemus;43.8619;5.7093
05093;Névache;45.0443;6.5988
06010;Bar-sur-Loup;43.699;6.961
06044;Colle-sur-Loup;43.6874;7.0973
06050;Coursegoules;43.7914;7.0364
06142;Touët-de-l'Escarène;43.8524;7.377
07148;Malbosc;44.3496;4.0737
07245;Saint-Jean-de-Muzols;45.0793;4.7997
07248;Saint-Jean-Roure;44.9543;4.4186
07253;Saint-Julien-du-Gua;44.7707;4.441
08028;Aubrives;50.0893;4.7658
08057;Belleville-et-Châtillon-sur-Bar;49.4658;4.8167
08063;Besace;49.5534;4.9679
08115;Chémery-Chéhéry;49.6164;4.8699
08168;Ferté-sur-Chiers;49.5723;5.2395
08278;Marquigny;49.5484;4.7052
09020;Artigues;42.689;2.0367
09293;Serres-sur-Arget;42.97;1.5056
09295;Siguer;42.7088;1.5529
09334;Vicdessos;42.7729;1.5108
09338;Villeneuve-du-Latou;43.2047;1.4334
10021;Avant-lès-Ramerupt;48.4482;4.259
10034;Bar-sur-Seine;48.113;4.3793
10183;Juvanzé;48.323;4.5915
10214;Magnicourt;48.4579;4.3825
10239;Mesnil-Sellières;48.3366;4.208
10410;Villadin;48.317;3.6902
11106;Coursan;43.2473;3.0572
11140;Ferrals-les-Corbières;43.1435;2.7388
11185;Lagrasse;43.0957;2.6045
11331;Saint-Amans;43.2274;1.8844
11383;Souilhe;43.3681;1.9173
11416;Villarzel-Cabardès;43.284;2.4685
12084;Creissels;44.0639;3.0605
12134;Lugan;44.4842;2.2557
13061;Saint-Pierre-de-Mézoargues;43.8607;4.6596
14061;Souleuvre en Bocage;48.9556;-0.8515
14102;Breuil-en-Auge;49.228;0.2199
